Year,economy,politics,war,peace,social issues,environment,terrorism,people and society,technology,international relations
1936,2,21,4,0,1,0,2,31,0,1
1937,37,109,10,14,9,0,9,79,1,2
1939,0,6,22,11,0,0,5,7,0,0
1940,5,43,48,18,3,2,11,42,0,2
1941,10,91,73,18,8,0,46,99,0,11
1942,2,19,98,8,2,0,10,55,0,2
1943,1,15,45,6,0,0,3,17,0,0
1944,7,26,38,10,4,0,10,26,0,0
1945,3,49,42,41,4,0,6,54,0,0
1947,1,13,2,0,4,0,3,24,0,0
1948,3,43,2,2,12,0,7,19,0,3
1949,5,15,4,17,6,0,12,41,0,0
1952,6,73,16,4,6,0,5,53,0,2
1953,48,131,64,44,18,7,35,128,1,5
1954,45,93,24,14,9,5,19,40,3,3
1955,46,88,39,19,16,8,15,54,1,0
1956,63,133,43,31,38,7,26,93,11,5
1957,38,80,23,34,15,3,39,82,2,5
1958,19,21,36,25,11,0,25,24,10,9
1959,33,45,18,13,6,1,14,41,3,0
1960,33,36,17,19,8,1,12,53,6,1
1961,173,190,191,126,41,12,59,244,19,15
1962,67,54,69,26,31,4,12,56,3,14
1963,58,76,104,129,57,10,34,132,7,10
1964,56,195,77,62,72,2,27,177,2,5
1965,34,178,138,74,68,12,38,273,5,11
1966,52,150,156,109,65,6,33,225,1,8
1967,43,318,171,89,100,7,56,252,5,1
1968,56,152,84,120,30,2,45,108,4,3
1969,34,168,82,90,43,4,10,86,0,4
1970,25,57,51,32,18,9,17,55,2,1
1971,34,122,65,67,10,8,7,76,1,11
1972,20,72,86,90,10,4,4,41,10,1
1973,7,72,35,74,3,3,10,59,0,1
1974,77,165,36,53,23,7,10,117,6,2
1975,50,136,70,53,6,16,23,63,11,5
1976,67,76,29,17,25,3,11,80,1,1
1977,74,175,40,35,22,21,18,96,7,2
1978,122,101,18,37,10,1,17,49,2,0
1979,63,98,32,30,7,8,14,92,4,2
1980,51,114,61,72,15,11,42,130,5,5
1981,62,109,19,15,12,2,9,73,1,0
1982,66,119,71,65,11,2,16,111,3,2
1983,84,98,67,46,25,0,32,81,18,0
1984,65,109,58,32,20,4,10,138,5,1
1985,60,59,11,21,18,1,14,85,10,2
1986,41,55,27,27,16,2,19,113,8,1
1987,32,65,38,46,14,2,9,85,3,0
1988,82,180,60,59,25,1,20,181,3,1
1989,52,78,33,25,18,5,19,98,8,4
1990,56,94,56,28,24,7,27,89,5,1
1991,42,44,85,46,21,4,21,89,5,7
1992,34,83,46,13,2,0,17,70,4,0
1993,165,181,75,19,73,15,44,403,17,6
1994,36,63,15,16,50,2,18,113,6,2
1995,39,96,21,15,69,0,20,194,0,2
1996,63,108,31,24,102,16,25,228,9,3
1997,47,55,26,14,44,9,14,108,16,7
1998,58,75,21,18,41,8,13,97,15,3
1999,57,59,12,15,26,3,36,66,12,0
2000,72,29,11,15,37,7,17,93,33,5
2001,20,49,35,11,12,3,59,92,3,11
2002,30,69,85,41,18,3,123,109,11,10
2003,22,96,72,27,5,7,65,147,10,15
2004,51,77,83,34,16,1,80,131,4,6
2005,25,78,48,18,4,4,86,158,4,2
2006,25,42,15,6,13,1,29,56,14,5
2007,19,73,66,16,3,3,68,54,6,7
2008,159,138,77,23,29,3,81,142,14,4
2009,147,161,80,31,34,6,93,241,14,7
2010,179,168,51,10,18,2,40,214,15,2
2011,105,134,113,35,37,6,87,240,52,2
2012,72,71,41,5,24,4,15,86,21,4
2013,181,147,48,6,125,4,43,261,36,2
2014,38,44,23,12,20,4,20,56,9,7
2015,39,33,21,8,11,1,16,57,10,6
2016,48,75,41,10,33,4,35,153,12,2
2017,52,114,71,27,40,2,83,230,11,3
2018,101,142,100,20,47,3,54,374,3,5
2019,57,80,31,28,22,0,31,132,9,7
2020,87,190,149,18,55,10,81,528,23,6
2021,66,148,162,29,33,3,83,272,22,12
2022,29,60,64,20,6,1,26,67,5,8
2023,32,35,20,4,12,2,15,58,7,1
2024,29,122,98,30,17,2,45,158,11,4
